region,cost,costbenratio,totalben,costperperson,ncyclebefore,ncycleafter,type,change,per,length,ndrivebefore,ndriveafter,carkmbefore,carkmafter,carkm,absenteeismbenefit,healthdeathavoided,healthbenefit,qualitybenefit,accidentsbenefit,co2saved,ghgbenefit,congestionbenefit,geometry
Hull,110709,1.52,168769,8503,117,130,Cycle Lanes,13,11.1,253.614,1110,1101,3615626,3591259,-24367.1,41500,0.0108608945850152,91900,0,3450,592.775798333651,319,31600,"{""type"":""MultiLineString"",""coordinates"":[[[-0.34445,53.78193],[-0.34438,53.78183]],[[-0.34444,53.78223],[-0.34445,53.78193]],[[-0.34443,53.78226],[-0.34444,53.78223]],[[-0.34475,53.78311],[-0.34443,53.78226]],[[-0.34508,53.7838],[-0.34475,53.78311]],[[-0.34513,53.78405],[-0.34508,53.7838]]]}"
Hull,133615,1.23,164005,9010,197,212,Cycle Lanes,15,7.5,487.7,2792,2783,14062483,14033891,-28592,38900,0.00981134615458284,83600,0,4040,678.454242703921,365,37100,"{""type"":""MultiLineString"",""coordinates"":[[[-0.43279,53.843],[-0.43261,53.84285]],[[-0.43284,53.84305],[-0.43279,53.843]],[[-0.43303,53.84324],[-0.43284,53.84305]],[[-0.433,53.84333],[-0.43303,53.84324]],[[-0.43293,53.84346],[-0.433,53.84333]],[[-0.4329,53.84347],[-0.43293,53.84346]],[[-0.43259,53.84364],[-0.4329,53.84347]],[[-0.43186,53.8439],[-0.43259,53.84364]],[[-0.43181,53.84392],[-0.43186,53.8439]],[[-0.43123,53.84408],[-0.43181,53.84392]],[[-0.4311,53.84417],[-0.43123,53.84408]],[[-0.4314,53.84448],[-0.4311,53.84417]],[[-0.43144,53.84453],[-0.4314,53.84448]],[[-0.4315,53.84461],[-0.43144,53.84453]],[[-0.43158,53.84486],[-0.4315,53.84461]],[[-0.43216,53.84544],[-0.43158,53.84486]],[[-0.43292,53.84606],[-0.43216,53.84544]],[[-0.43312,53.8462],[-0.43292,53.84606]]]}"
Hull,6788,24.45,165997,493,79,93,Cycle Street,14,17.4,452.853,1571,1560,6050876,6023662,-27214.6,40100,0.0102014982233119,86400,0,3850,645.093655496042,347,35300,"{""type"":""MultiLineString"",""coordinates"":[[[-0.44693,53.7576],[-0.44698,53.75776]],[[-0.44698,53.75776],[-0.447,53.758]],[[-0.447,53.758],[-0.44696,53.75844]],[[-0.44696,53.75844],[-0.44699,53.75882]],[[-0.44699,53.75882],[-0.44702,53.75895]],[[-0.44702,53.75895],[-0.44713,53.75947]],[[-0.44713,53.75947],[-0.44714,53.75953]],[[-0.44714,53.75953],[-0.44822,53.76152]]]}"
Hull,60929,9.86,600850,1470,419,460,Cycle Lanes,41,9.9,852.406,2598,2569,11378498,11288159,-90338.7,151000,0.0377128285357477,319000,0,12800,1943.81966621156,1050,117000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.27089,53.74786],[-0.27041,53.7484]],[[-0.27041,53.7484],[-0.26997,53.74995]],[[-0.26997,53.74995],[-0.27046,53.75181]],[[-0.27415,53.7514],[-0.27457,53.75135]],[[-0.27046,53.75181],[-0.27067,53.75201]],[[-0.27067,53.75201],[-0.2712,53.75237]],[[-0.2712,53.75237],[-0.27207,53.75275]],[[-0.27318,53.75181],[-0.27415,53.7514]],[[-0.27207,53.75275],[-0.27318,53.75181]]]}"
Hull,101699,2.51,255140,6123,120,137,Cycle Lanes,17,13.8,221.085,1785,1774,7738435,7701719,-36715.7,64900,0.0162019821558635,137000,0,5190,837.5708652425,450,47600,"{""type"":""LineString"",""coordinates"":[[-0.35423,53.75369],[-0.35468,53.75566]]}"
Hull,10723,45.28,485502,217,238,287,Cycle Street,49,20.8,715.066,1472,1446,4798209,4729635,-68574.1,113000,0.0321736952825907,273000,0,9700,1491.98410764233,802,89000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.36531,53.7387],[-0.3641,53.73898]],[[-0.3641,53.73898],[-0.36107,53.73993]],[[-0.36107,53.73993],[-0.36162,53.74054]],[[-0.36162,53.74054],[-0.36181,53.74077]],[[-0.36181,53.74077],[-0.36216,53.74115]],[[-0.36216,53.74115],[-0.36287,53.7433]]]}"
Hull,10044,24.49,245945,485,218,239,Cycle Street,21,9.5,669.913,1957,1945,6777383,6741965,-35418.3,59500,0.0159724415355911,135000,0,5010,808.489543734439,435,46000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.34533,53.74084],[-0.34561,53.7407]],[[-0.34794,53.74056],[-0.34956,53.7405]],[[-0.34561,53.7407],[-0.34794,53.74056]],[[-0.34438,53.74105],[-0.34533,53.74084]],[[-0.35018,53.74159],[-0.34987,53.74097]],[[-0.35078,53.74213],[-0.35018,53.74159]],[[-0.3515,53.74237],[-0.35078,53.74213]],[[-0.3515,53.74237],[-0.35161,53.7429]],[[-0.34987,53.74097],[-0.34956,53.7405]]]}"
Hull,17371,31.72,551086,227,280,356,Cycle Street,76,27.3,1158.38,1725,1680,4359643,4274383,-85260.2,119000,0.0363205131428297,308000,0,12100,1832.67213912112,986,111000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.37628,53.73657],[-0.37515,53.73681]],[[-0.37515,53.73681],[-0.37294,53.73724]],[[-0.37167,53.73749],[-0.37069,53.73765]],[[-0.37294,53.73724],[-0.3724,53.73733]],[[-0.3724,53.73733],[-0.37167,53.73749]],[[-0.37294,53.73724],[-0.37399,53.73917]],[[-0.37399,53.73917],[-0.37453,53.74022]],[[-0.37453,53.74022],[-0.37477,53.74049]],[[-0.37477,53.74049],[-0.37486,53.7406]],[[-0.37486,53.7406],[-0.37549,53.74137]],[[-0.37549,53.74137],[-0.37666,53.74375]]]}"
Hull,155431,2.92,453381,3186,520,569,Cycle Lanes,49,9.4,537.981,3787,3758,11793558,11725726,-67832.2,107000,0.0292255425366031,248000,0,9590,1470.65582887687,791,88000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.36735,53.73557],[-0.36725,53.73568]],[[-0.36684,53.73463],[-0.36735,53.73557]],[[-0.36559,53.73659],[-0.36424,53.73689]],[[-0.3668,53.73571],[-0.36504,53.73567]],[[-0.36725,53.73568],[-0.3668,53.73571]],[[-0.3668,53.73571],[-0.36685,53.73604]],[[-0.36504,53.73567],[-0.36559,53.73659]]]}"
Hull,162285,1.85,299492,6206,184,210,Cycle Lanes,26,14.2,352.802,907,890,2706970,2665966,-41003.6,74000,0.0196439627552139,166000,0,5800,915.337886298105,492,53200,"{""type"":""MultiLineString"",""coordinates"":[[[-0.32836,53.76188],[-0.32767,53.76188]],[[-0.32767,53.76188],[-0.32737,53.76189]],[[-0.32737,53.76189],[-0.32675,53.7619]],[[-0.32675,53.7619],[-0.32658,53.7619]],[[-0.32658,53.7619],[-0.32571,53.76192]],[[-0.32571,53.76192],[-0.32512,53.76193]],[[-0.32512,53.76193],[-0.32344,53.76195]],[[-0.32344,53.76195],[-0.32301,53.76193]]]}"
