recommended,geometry
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.08455,51.5417],[-0.08309,51.54141]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.08309,51.54141],[-0.08217,51.54122]]}"
Segregated Cycle Track on Path,"{""type"":""LineString"",""coordinates"":[[-0.08455,51.5417],[-0.08487,51.54177]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.08305,51.5415],[-0.08309,51.54141]]}"
Segregated Cycle Track on Path,"{""type"":""LineString"",""coordinates"":[[-0.08217,51.54122],[-0.08189,51.54116]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.08169,51.54113],[-0.0806,51.54101]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07801,51.54088],[-0.07781,51.54088]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07781,51.54088],[-0.0772,51.54085]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.0772,51.54085],[-0.07713,51.54085]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07713,51.54085],[-0.0768,51.54084]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.0768,51.54084],[-0.07651,51.54083]]}"
Segregated Cycle Track on Path,"{""type"":""LineString"",""coordinates"":[[-0.07801,51.54088],[-0.07818,51.54088]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.07814,51.54066],[-0.07824,51.54083]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07818,51.54088],[-0.07824,51.54083]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07824,51.54083],[-0.07885,51.54082]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07885,51.54082],[-0.07942,51.54089]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07942,51.54089],[-0.07951,51.54097]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07829,51.54059],[-0.07814,51.54066]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07814,51.54066],[-0.07766,51.54023]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.07766,51.54023],[-0.07668,51.53948]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03678,51.52276],[-0.03667,51.52283]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03667,51.52283],[-0.03663,51.52283]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03663,51.52283],[-0.03634,51.52286]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03614,51.52289],[-0.03623,51.52287]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03623,51.52287],[-0.03634,51.52286]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03711,51.52421],[-0.0369,51.52429]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0368,51.52433],[-0.0357,51.52476]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.04194,51.52254],[-0.0419,51.52248]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.04204,51.52273],[-0.04194,51.52254]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.04234,51.52328],[-0.04232,51.52323]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.04232,51.52323],[-0.04218,51.52297]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.04218,51.52297],[-0.04204,51.52273]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.04242,51.52341],[-0.04234,51.52328]]}"
Segregated Cycle Track on Path,"{""type"":""LineString"",""coordinates"":[[-0.10559,51.50813],[-0.10492,51.50814]]}"
Segregated Cycle Track on Path,"{""type"":""LineString"",""coordinates"":[[-0.10492,51.50814],[-0.10456,51.50814]]}"
Segregated Cycle Track on Path,"{""type"":""LineString"",""coordinates"":[[-0.10456,51.50814],[-0.10446,51.50814]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.10452,51.50606],[-0.10442,51.50607]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.11451,51.52677],[-0.11495,51.52664]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03204,51.54657],[-0.03257,51.5467]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03257,51.5467],[-0.03291,51.54682]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.09976,51.53354],[-0.09995,51.53319]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.09995,51.53319],[-0.09998,51.53312]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.09998,51.53312],[-0.10006,51.53298]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03073,51.55125],[-0.03006,51.55154]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03006,51.55154],[-0.02989,51.55161]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03318,51.54731],[-0.0334,51.54746]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03341,51.54746],[-0.03361,51.54757]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03361,51.54757],[-0.03537,51.54978]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.02967,51.55166],[-0.03004,51.55178]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03004,51.55178],[-0.03045,51.55182]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.05157,51.5477],[-0.05147,51.54771]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.09364,51.51753],[-0.09361,51.51758]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.09361,51.51758],[-0.09356,51.51766]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.09356,51.51766],[-0.09355,51.51768]]}"
Segregated Cycle Track on Path,"{""type"":""LineString"",""coordinates"":[[-0.08188,51.54116],[-0.08169,51.54113]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02785,51.54768],[-0.0281,51.54761]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0281,51.54761],[-0.02866,51.54744]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02866,51.54744],[-0.02887,51.54731]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.02512,51.54427],[-0.02571,51.54419]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.02512,51.54427],[-0.02539,51.54368]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.02539,51.54368],[-0.02554,51.54346]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.02554,51.54346],[-0.02555,51.54327]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.00714,51.53846],[-0.00686,51.53827]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.02676,51.54201],[-0.0263,51.54203]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.0263,51.54203],[-0.02486,51.54236]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.09775,51.48536],[-0.09833,51.48604]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.04929,51.42269],[0.04889,51.42212]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.04889,51.42212],[0.04787,51.42032]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.10753,51.43524],[-0.10692,51.43552]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.05732,51.4734],[-0.05706,51.47251]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.05706,51.47251],[-0.05729,51.47229]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[0.00089,51.59083],[0.00104,51.59125]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[0.00104,51.59125],[0.00096,51.59159]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[0.00096,51.59159],[0.00094,51.59171]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[0.00094,51.59171],[0.00093,51.59174]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[0.00093,51.59174],[0.00087,51.59204]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[0.00087,51.59204],[0.00084,51.59218]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[0.00084,51.59218],[0.00083,51.59223]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[0.00083,51.59223],[0.00074,51.59264]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.00071,51.58719],[-0.00042,51.58739]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.00042,51.58739],[0.00044,51.58848]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.11477,51.55864],[-0.11526,51.55844]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.1048,51.53677],[-0.10474,51.53704]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.1048,51.53677],[-0.10462,51.53675]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.1099,51.53888],[-0.10996,51.53873]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.10986,51.53867],[-0.10983,51.53862]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.10983,51.53862],[-0.10993,51.53849]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.04841,51.54848],[0.04841,51.5485]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.04841,51.5485],[0.0483,51.54882]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.04852,51.54807],[0.04841,51.54848]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.05722,51.54653],[0.05704,51.54623]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.05722,51.54653],[0.05725,51.54658]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10711,51.59337],[-0.10715,51.5934]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10715,51.5934],[-0.10755,51.59368]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10755,51.59368],[-0.10838,51.59438]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.10474,51.53704],[-0.10441,51.53716]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.10462,51.53675],[-0.10344,51.5366]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.08781,51.53104],[-0.08774,51.53081]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.08774,51.53081],[-0.08748,51.53027]]}"
Segregated Cycle Track on Path,"{""type"":""LineString"",""coordinates"":[[-0.13369,51.51889],[-0.13352,51.51895]]}"
Cycle Lanes with light segregation,"{""type"":""LineString"",""coordinates"":[[-0.13352,51.51895],[-0.1329,51.51923]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0942,51.4794],[-0.09413,51.479]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.20301,51.51955],[-0.20255,51.51904]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.20255,51.51904],[-0.20209,51.5185]]}"
Cycle Lanes with light segregation,"{""type"":""LineString"",""coordinates"":[[-0.20209,51.5185],[-0.20141,51.51781]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10641,51.52882],[-0.1066,51.52862]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.1066,51.52862],[-0.10663,51.52859]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10663,51.52859],[-0.10721,51.52794]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10721,51.52794],[-0.10734,51.52783]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.1028,51.54115],[-0.10472,51.54097]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.10472,51.54097],[-0.10485,51.54095]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.11366,51.54083],[-0.11352,51.54082]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.1214,51.55827],[-0.12133,51.5578]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.12133,51.5578],[-0.12082,51.55737]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.12082,51.55737],[-0.12041,51.5571]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.00648,51.59612],[-0.00723,51.59611]]}"
