name,region,width,geometry
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.51529,51.26644],[0.51488,51.26641]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.51488,51.26641],[0.51506,51.26663]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.51548,51.26605],[0.51529,51.26644]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.51529,51.26644],[0.51506,51.26663]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51364,51.2636],[0.5142,51.2633]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5142,51.2633],[0.51527,51.26309]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51527,51.26309],[0.51549,51.26305]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51549,51.26305],[0.51568,51.26306]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51568,51.26306],[0.51527,51.26309]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52634,51.27119],[0.52636,51.27109]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51422,51.26354],[0.51414,51.26387]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5142,51.2633],[0.5144,51.26281]]}"
,Medway,0,
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51549,51.26305],[0.51548,51.26297]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51568,51.26306],[0.51572,51.26295]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.51601,51.26294],[0.51621,51.26302]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.52592,51.25829],[0.52886,51.25813]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52383,51.27031],[0.5237,51.26991]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5237,51.26991],[0.52345,51.26988]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52366,51.27005],[0.5237,51.26991]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52277,51.26992],[0.52254,51.2699]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52214,51.27003],[0.52251,51.27006]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52633,51.27167],[0.52628,51.27182]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52628,51.27182],[0.52634,51.27196]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52628,51.27182],[0.52626,51.27197]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52628,51.27182],[0.52616,51.27197]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52571,51.2719],[0.52572,51.27165]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52641,51.27196],[0.52639,51.27182]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52639,51.27182],[0.52642,51.27167]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52648,51.27196],[0.52639,51.27182]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52548,51.27151],[0.52588,51.27152]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52588,51.27152],[0.5262,51.27154]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52588,51.27152],[0.52585,51.27166]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52623,51.27167],[0.52631,51.27133]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52631,51.27133],[0.52634,51.27119]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52607,51.2713],[0.52631,51.27133]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5261,51.27117],[0.52634,51.27119]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52671,51.2714],[0.52686,51.27073]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52428,51.26863],[0.52552,51.26889]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52552,51.26889],[0.52548,51.269]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52435,51.26848],[0.52558,51.26873]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52558,51.26873],[0.52552,51.26889]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52428,51.26834],[0.52563,51.26861]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52563,51.26861],[0.52558,51.26873]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52563,51.26861],[0.52638,51.26873]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52638,51.26873],[0.52666,51.26875]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52664,51.26884],[0.52666,51.26875]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52666,51.26875],[0.52668,51.26858]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.49344,51.26804],[0.4934,51.26824]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.49365,51.26805],[0.49363,51.26818]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.49363,51.26818],[0.49361,51.26825]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.49361,51.26825],[0.49389,51.26827]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.49389,51.26827],[0.49391,51.26819]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.49391,51.26819],[0.49402,51.26808]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.49361,51.26825],[0.49389,51.26827]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.49363,51.26818],[0.49391,51.26819]]}"
Wainscott Road,Medway,7.25,"{""type"":""LineString"",""coordinates"":[[0.5093,51.40649],[0.5092,51.40671]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.48795,51.26255],[0.4883,51.25892],[0.48326,51.25785]]}"
